Nome Urna;Coligação;Totalização;Partido
NADER;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45123
NATÁLIA MEDINA;MISSÃO;Concorrendo;14444
NATASHA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13100
NEGA JULIA;MDB;Concorrendo;15315
NELSON KHALIL;PODE;Concorrendo;20027
NELSON SPOLAOR;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13999
NERI O CARTEIRO;PSD;Concorrendo;55123
NETO JORGE;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Inapto;11710
NICOLE WEBER COVATTI;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11011
NILCE;PL;Concorrendo;22111
NILVO RIBOLDI;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;65653
NIVEA SARAIVA;REPUBLICANOS;Concorrendo;10101
NOEMI FERNANDES;NOVO;Concorrendo;30007
NUNA PEREIRA;PODE;Concorrendo;20123
ORLEI BARBIERI;REPUBLICANOS;Concorrendo;10567
PAI TADEU;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13777
PAPARICO BACCHI;PL;Concorrendo;22212
PASTOR ALÉCIO;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45612
PASTOR VALMIR RAMOS;PSD;Inapto;55710
PASTORA SARA;PODE;Concorrendo;20135
PATRÍCIA CHAGAS;PL;Concorrendo;22007
PATRÍCIA PEIXE;PSTU;Concorrendo;16000
PAULA MASCARENHAS;PSD;Concorrendo;55053
PAULA SILVA;MISSÃO;Concorrendo;14777
PAULINHO;DEMOCRATA;Concorrendo;35035
PAULINHO DA BONJA;PDT;Concorrendo;12812
PAULINHO DA FARMACIA;PODE;Concorrendo;20300
PAULINHO PEREIRA;PODE;Concorrendo;20789
PAULINHO ZINN;REPUBLICANOS;Concorrendo;10555
PAULO DE TARSO;PSB;Concorrendo;40040
PAULO OPUSDEI;PODE;Concorrendo;20222
PAULO ORELHA;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13888
PAULO ROSA;FEDERAÇÃO PSDB CIDADANIA(PSDB/CIDADANIA);Concorrendo;45005
PEDERSSETTI;FEDERAÇÃO UNIÃO PROGRESSISTA(UNIÃO/PP);Concorrendo;11007
PEDRO CAMPOS;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;43420
PEDRO MONTEIRO;MISSÃO;Concorrendo;14000
PEDRO PEREIRA;PSD;Concorrendo;55600
PEDRO STEIN;FEDERAÇÃO PSOL REDE(PSOL/REDE);Concorrendo;50500
PEPE VARGAS;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13001
PICOLOTTO;FEDERAÇÃO BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV);Concorrendo;13678
POLI MARTINAZZO;PDT;Concorrendo;12003
POLICIAL EVANDRO CORUJA;PL;Concorrendo;22001
POLICIAL MINETTI;PDT;Concorrendo;12112
POMPEO FILHO;PDT;Concorrendo;12120
PR OSÉAS COSTA;REPUBLICANOS;Concorrendo;10077
